effect	px	py	pz	lx	ly	lz	fov	near	far	_
Plasmancer_Damage	0	0.6040001	-18.9435444	0	0.6040001	-0.0929999352	40	0.01	596.6119	0
Possession_self	0	0.139999866	-44.0653267	0	0.139999866	0	40	0.01	1394.64929	0
Pray_Exit	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
Pray_Idle	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
Pray_Start	-0.0388011932	10.2685137	-93.579895	-0.0388011932	10.2685137	-0.0568351746	40	0.01	2959.96582	0
Pray_Success	-0.000370025635	10.2103014	-93.43689	-0.000370025635	10.2103014	-0.005212784	40	0.01	2957.074	0
Protocol Base	0	0.00799942	-17.665062	0	0.00799942	-0.85950017	40	0.01	531.889038	0
Psychic_Lightning	0	0	-50.1952477	0	0	12.4452162	40	0.01	1982.54468	0
Psychic_Lightning_blast	0.016340971	0.307775021	-13.7402077	0.016340971	0.307775021	-0.02186656	40	0.01	434.179779	0
Psychic_Lightning_blast_chaos	0.016340971	0.307775021	-13.7402077	0.016340971	0.307775021	-0.02186656	40	0.01	434.179779	0
Psychic_Lightning_chaos	0	0.190614462	-53.8941956	0	0.190614462	21.2458019	40	0.01	2378.15	0
Psychic_Lightning_down	0	4.574151	-35.94475	0	4.574151	0	40	0.01	1137.63647	0
Psychic_Lightning_down_Intense_white	0	-24.439621	-180.329315	0	-24.439621	0	40	0.01	5707.34766	0
Psychic_Lightning_down_Waaagh_Green	0	-24.439621	-180.329315	0	-24.439621	0	40	0.01	5707.34766	0
Psychic_Lightning_Genestealer	0	0	-34.024456	0	0	10.7497759	40	0.01	1417.08582	0
Psychic_Lightning_Genestealer_Benefictus	0	0	-30.3209877	0	0	8.90836048	40	0.01	1241.59253	0
Psychic_Lightning_NornEmissary	0	0	-46.5372276	0	0	13.8919249	40	0.01	1912.55762	0
Psychic_Lightning_Purple	0	0	-50.1952477	0	0	12.4452162	40	0.01	1982.54468	0
Psychic_Lightning_Red	0	0	-50.1952477	0	0	12.4452162	40	0.01	1982.54468	0
Psychic_Lightning_Swarmlord	0	0	-45.065403	0	0	13.1532316	40	0.01	1842.5957	0
Psychic_Lightning_Tyranid	0	0	-45.065403	0	0	13.1532316	40	0.01	1842.5957	0
Psychic_Lightning_Waaagh	-0.781479955	0.550722063	-43.88369	-0.781479955	0.550722063	20.2172985	40	0.01	2028.76965	0
Psychic_Lightning_Waaagh_Board	-0.2879424	16.1500053	-37.2874146	-0.2879424	16.1500053	-0.0479898453	40	0.01	1178.6123	0
Psychic_Lightning_warlord_chaos	0.114379644	0.08648229	-15.7562227	0.114379644	0.08648229	0.07865143	40	0.01	501.1672	0
Psychic_Lightning_warlord_OLD	-0.0831415653	-0.034226656	-18.7699318	-0.0831415653	-0.034226656	-0.0567216873	40	0.01	592.2653	0
Psychic_Lightning_white	0	0	-50.1952477	0	0	12.4452162	40	0.01	1982.54468	0
Psychomancer_Stun	0	0.5440004	-18.1708145	0	0.5440004	-0.0929999352	40	0.01	572.1553	0
Pulse Onslaught	2.626295	0.5577221	-98.9766541	2.626295	0.5577221	-2.29927635	40	0.01	3059.79883	0
Quest UI Gain	0	-2.4525013	-68.96218	0	-2.4525013	-0.00173664093	40	0.01	2182.56934	0
Quest UI Trigger	0	0	-58.1798134	0	0	0.1032629	40	0.01	1844.63525	0
Railgun turret	-120.1022	0.008699894	-389.3123	-120.1022	0.008699894	0.000124931335	40	0.01	12321.5762	0
RallyEffect	0	0.05987072	-44.6202621	0	0.05987072	-1.43051147E-06	40	0.01	1412.21277	0
Rapacious_Hunger	-2.14576721E-06	0.5319998	-20.1396942	-2.14576721E-06	0.5319998	-0.7119999	40	0.01	614.8785	0
Rapturous Ruination Board	0	0.0999984741	-244.268509	0	0.0999984741	-5.046627	40	0.01	7571.273	0
Recall_Eldar	0	-0.549999952	-13.1248913	0	-0.549999952	-0.0250000954	40	0.01	414.606079	0
Recall_Eldar_2	0	-1.31	-19.427681	0	-1.31	0	40	0.01	614.878052	0
Recall_Eldar_2_quick	0	-1.05235243	-19.90878	0	-1.05235243	0	40	0.01	630.1046	0
Recall_Eldar_2_quick_ground	0	-5.04908848	-29.3202286	0	-5.04908848	0	40	0.01	927.9731	0
Recall_Eldar_2_quick_ground_warlord	0	-1.31	-19.427681	0	-1.31	0	40	0.01	614.878052	0
Recall_Eldar_2_quick_UI	0	-0.9649999	-20.0767651	0	-0.9649999	0	40	0.01	635.421265	0
Recall_Eldar_2_reverse	0	-1.31	-19.427681	0	-1.31	0	40	0.01	614.878052	0
Recall_Generic	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
Recon Enemy Hand	0	0.0149998665	-35.8304825	0	0.0149998665	0	40	0.01	1134.0199	0
Recon Enemy Hand Purple	0	0.0150001049	-27.3940525	0	0.0150001049	0	40	0.01	867.0104	0
Recon Hit	0	-1.3380003	-23.3132172	0	-1.3380003	0	40	0.01	737.8537	0
Recon Hit Purple	0	-1.3380003	-23.3132172	0	-1.3380003	0	40	0.01	737.8537	0
Recon Scan	0	0.04699993	-67.97027	0	0.04699993	-0.029999733	40	0.01	2150.28125	0
Recon Scan 2	0	0.07999992	-68.02027	0	0.07999992	-0.07999992	40	0.01	2150.28125	0
Recon Scan Purple	0	0.04699993	-67.97027	0	0.04699993	-0.029999733	40	0.01	2150.28125	0
RegimentEffect	0	-1.19909239	-15.7283773	0	-1.19909239	0	40	0.01	497.796631	0
Relentless Fusillade	2.43822479	-0.473516464	-105.508553	2.43822479	-0.473516464	-2.28749084	40	0.01	3266.90381	0
Relentless Fusillade sniper	-12.39724	-0.882640839	-143.869278	-12.39724	-0.882640839	15.05843	40	0.01	5029.99561	0
RelentlessEffect	0	0.1906147	-24.9786377	0	0.1906147	-0.00173664093	40	0.01	790.508545	0
RemnantBody3D Aeldari	0	0.0264072418	-77.71071	0	0.0264072418	0	40	0.01	2459.51172	0
RemnantBody3D Necrons	-0.0100002289	-5.15060329	-50.86094	-0.0100002289	-5.15060329	-0.53099966	40	0.01	1592.92175	0
RiftCannon_Laser	0	-1.31500053	-145.483688	0	-1.31500053	9.255438	40	0.01	4897.42871	0
RocketTrail	14.3045683	11.696806	-71.6616	14.3045683	11.696806	13.0283422	40	0.01	2680.40137	0
Rockfall	0	0.9909382	-24.9108982	0	0.9909382	0	40	0.01	788.419556	0
SAU_CardDraw	0	-1.30000019	-37.3008842	0	-1.30000019	0.0002641678	40	0.01	1180.5658	0
Sau_CurseOfThePhaeron	0	-0.7199998	-39.922245	0	-0.7199998	0	40	0.01	1263.52246	0
Sau_DamageProtocol	0	0	-21.38044	0	0	-1.21220016	40	0.01	638.3164	0
Sau_DamageProtocol_OLD	0	0.330000162	-20.4441338	0	0.330000162	0.07150006	40	0.01	649.3113	0
Sau_DamageProtocol_Quick	-0.01702547	0.329999924	-13.6164055	-0.01702547	0.329999924	0.07150006	40	0.01	433.216522	0
Sau_Dimensional_Breach_Battleground	0	5.72999954	-217.441528	0	5.72999954	2.84677887	40	0.01	6972.03369	0
Sau_Dimensional_Breach_Spawn	0	2.23	-35.9596977	0	2.23	-0.162000179	40	0.01	1132.9823	0
Sau_HealProtocol	0	0	-20.426796	0	0	-1.13300037	40	0.01	610.6407	0
